2016 Immigration policy,2020 For whom R voted (pre/early),2020 Media: TV mention,2016 Feeling Therm: Rep Party,2016 Death penalty (summary),2016 Voted in Nov election (post),2020 Media: Radio mention,2016 Media: TV news mention,2020 Party ID (basic),2020 Lib-Con 7pt scale,2020 Media: Internet mention,2020 Gun stance (difficulty buying),2016 Forced Lib or Con,Original (2016) Westat Case ID,2016 Race summary,2016 Media: Newspapers mention,2016 Attention to news,2016 For whom R voted (post),2016 ACA (2010 health care) favor/oppose,2020 For whom R voted (post),2020 Feeling Therm: Dem Party,2016 Post-election weight (full),2016 Attention to politics,2020 Attention to politics,2020 Where R is registered (pre),2016 Case ID,2016 Feeling Therm: Dem Party,2020 Voted in Nov election (post),2020 Media: Newspapers mention,2016 Party ID summary,2020 Interest in campaigns,2020 Forced Lib or Con,2016 Education level,2020 Already voted (pre),2020 Hispanic indicator,2016 Lib-Con 7pt scale,2016 Party ID (basic),2020 Age (summary),2020 Case ID,2016 Pre-election weight (full),2016 Gun stance (make it more difficult),2020 Race/Ethnicity (summary),2016 Media: Radio mention,2020 Death penalty (summary),2020 ACA approval (summary),2016 Registered to vote (pre),Panel post-election weight (2016-2020),2016 Strength of Party ID,2020 Media: No mention,2016 For whom R voted (pre),2020 Party ID summary,2020 Strength of Party ID,2020 Immigration policy,2016 Hispanic indicator,2016 Interest in campaigns,2020 Mode of interview (pre),Panel pre-election weight (2016-2020),2020 Education level,2020 Feeling Therm: Rep Party,2016 Age group,2016 Mode of interview,2016 Voted for President (pre)
3.0,-1.0,1.0,40.0,3.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,-1.0,300082.0,1.0,1.0,2.0,1.0,2.0,1.0,60.0,0.6132,1.0,2.0,1.0,36.0,60.0,4.0,0.0,2.0,1.0,-1.0,16.0,2.0,2.0,2.0,1.0,71.0,226215.0,0.595,1.0,1.0,1.0,3.0,2.0,1.0,0.7669481616369836,2.0,0.0,-1.0,1.0,1.0,3.0,2.0,1.0,3.0,0.8511820379729905,8.0,15.0,11.0,1.0,-1.0
1.0,-1.0,1.0,85.0,1.0,4.0,1.0,1.0,2.0,6.0,1.0,-6.0,2.0,300092.0,1.0,1.0,2.0,2.0,7.0,-6.0,0.0,0.5432,2.0,2.0,1.0,38.0,15.0,-6.0,1.0,7.0,1.0,-1.0,11.0,2.0,2.0,4.0,2.0,58.0,215338.0,0.5705,2.0,1.0,1.0,1.0,-6.0,1.0,,1.0,0.0,-1.0,7.0,1.0,3.0,2.0,1.0,3.0,0.5742969987660695,5.0,100.0,8.0,1.0,-1.0
1.0,-1.0,1.0,85.0,4.0,2.0,0.0,1.0,2.0,99.0,0.0,3.0,1.0,300093.0,5.0,1.0,5.0,-1.0,4.0,-1.0,85.0,0.9487,4.0,2.0,1.0,39.0,60.0,3.0,0.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,3.0,52.0,208705.0,0.9134,1.0,3.0,1.0,1.0,4.0,1.0,2.088519460872687,-1.0,0.0,-1.0,6.0,2.0,1.0,1.0,1.0,3.0,1.5980794925184456,1.0,85.0,7.0,1.0,-1.0
3.0,-1.0,1.0,30.0,3.0,4.0,0.0,1.0,3.0,4.0,1.0,-6.0,-1.0,300094.0,2.0,1.0,3.0,1.0,1.0,-6.0,70.0,1.986,3.0,3.0,1.0,40.0,85.0,-6.0,1.0,2.0,1.0,1.0,10.0,2.0,2.0,2.0,1.0,29.0,222343.0,2.0735,1.0,2.0,1.0,3.0,-6.0,1.0,,2.0,0.0,-1.0,3.0,-1.0,4.0,2.0,1.0,3.0,2.197793409055642,6.0,0.0,3.0,1.0,-1.0
2.0,-1.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,99.0,0.0,1.0,-1.0,300100.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.7467,1.0,2.0,1.0,43.0,100.0,4.0,0.0,1.0,1.0,1.0,13.0,1.0,2.0,1.0,1.0,50.0,228082.0,0.7569,1.0,1.0,1.0,1.0,1.0,1.0,0.6958886864498343,1.0,0.0,-1.0,1.0,1.0,3.0,2.0,1.0,3.0,0.7999618482868858,1.0,0.0,7.0,1.0,-1.0
1.0,-1.0,1.0,60.0,1.0,4.0,1.0,1.0,2.0,6.0,1.0,3.0,2.0,300106.0,1.0,1.0,3.0,2.0,7.0,2.0,10.0,0.9194,2.0,2.0,1.0,45.0,0.0,4.0,1.0,5.0,1.0,-1.0,12.0,2.0,2.0,4.0,3.0,43.0,208941.0,0.9391,2.0,6.0,1.0,1.0,7.0,1.0,0.9076100308886128,-1.0,0.0,-1.0,7.0,1.0,2.0,2.0,1.0,3.0,0.997754956446077,5.0,80.0,5.0,1.0,-1.0
4.0,-1.0,1.0,30.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,300107.0,1.0,1.0,3.0,1.0,1.0,1.0,70.0,1.2573,3.0,2.0,1.0,46.0,60.0,4.0,1.0,2.0,1.0,-1.0,13.0,2.0,2.0,3.0,1.0,56.0,224400.0,1.2799,1.0,1.0,1.0,3.0,2.0,1.0,1.2727032572688863,2.0,0.0,-1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.2363131869799036,6.0,15.0,8.0,1.0,-1.0
3.0,-1.0,1.0,60.0,4.0,-1.0,1.0,1.0,3.0,5.0,1.0,1.0,-1.0,300109.0,5.0,0.0,3.0,-1.0,5.0,-1.0,40.0,0.2583,4.0,4.0,3.0,47.0,60.0,1.0,0.0,4.0,2.0,-1.0,13.0,2.0,1.0,6.0,3.0,33.0,206662.0,0.2348,1.0,3.0,1.0,3.0,4.0,3.0,0.4402084446989027,-1.0,0.0,-1.0,4.0,-1.0,3.0,1.0,3.0,3.0,0.3516447380852699,3.0,40.0,3.0,1.0,-1.0
3.0,-1.0,1.0,85.0,1.0,4.0,1.0,1.0,2.0,6.0,1.0,3.0,3.0,300111.0,1.0,1.0,3.0,2.0,6.0,2.0,1.0,0.5226,2.0,1.0,1.0,48.0,30.0,4.0,1.0,5.0,1.0,-1.0,11.0,2.0,2.0,4.0,3.0,50.0,234858.0,0.51,3.0,1.0,1.0,1.0,7.0,1.0,0.6446984608958732,-1.0,0.0,-1.0,7.0,1.0,1.0,2.0,1.0,3.0,0.6767132522546062,6.0,85.0,7.0,1.0,-1.0
3.0,-1.0,1.0,40.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,300121.0,1.0,1.0,2.0,1.0,2.0,1.0,70.0,0.2869,1.0,1.0,1.0,52.0,85.0,4.0,0.0,1.0,1.0,-1.0,14.0,2.0,2.0,2.0,1.0,65.0,200725.0,0.2921,1.0,1.0,1.0,4.0,4.0,1.0,0.287618370636552,1.0,0.0,-1.0,1.0,1.0,3.0,2.0,1.0,3.0,0.3058738067433353,7.0,45.0,10.0,1.0,-1.0
